rank,name,showtime,duration,director,type,score,nation
1,肖申克的救赎,1994/9/10,142,弗兰克·德拉邦特,剧情,9.6,美国
2,霸王别姬,1993/1/1,171,陈凯歌,爱情,9.5,中国
3,这个杀手不太冷,1994/9/14,110,吕克·贝松,动作,9.4,法国
4,阿甘正传,1994/6/23,142,Robert,爱情,9.4,美国
5,美丽人生,1997/12/20,116,罗伯托·贝尼尼,喜剧,9.5,意大利
6,千与千寻,2001/7/20,125,宫崎骏,动画,9.2,日本
7,泰坦尼克号,1998/4/3,194,詹姆斯·卡梅隆,爱情,9.2,美国
8,辛德勒的名单,1993/11/30,195,史蒂文·斯皮尔伯格,历史,9.4,美国
9,盗梦空间,2010/9/1,148,克里斯托弗·诺兰,科幻,9.3,美国
10,机器人总动员,2008/6/27,98,安德鲁·斯坦顿,科幻,9.3,美国
11,海上钢琴师,1998/10/28,165,朱塞佩·托纳多雷,音乐,9.2,意大利
12,三傻大闹宝莱坞,2011/12/8,171,拉库马·希拉尼,喜剧,9.2,印度
13,忠犬八公的故事,2009/6/13,93,莱塞·霍尔斯道姆,剧情,9.2,美国
14,放牛班的春天,2004/10/16,97,克里斯托夫·巴拉蒂,音乐,9.2,法国
15,大话西游之大圣娶亲,1995/2/4,95,刘镇伟,爱情,9.2,中国
16,楚门的世界,1998/6/5,103,彼得·威尔,科幻,9.1,美国
17,教父,1972/3/15,175,弗朗西斯·福特·科波拉,犯罪,9.2,美国
247,麦兜故事,2001/12/15,75,袁建滔,喜剧,-1,中国
19,熔炉,2011/9/22,125,黄东赫,剧情,9.2,韩国
20,乱世佳人,1939/12/15,238,维克多·弗莱明,历史,9.2,美国
241,大卫·戈尔的一生,2003/2/21,130,Alan,犯罪,-1,美国
22,触不可及,2011/11/2,112,奥利维·那卡什,喜剧,9.1,法国
23,无间道,2002/12/12,101,刘伟强,犯罪,9,中国
24,当幸福来敲门,2006/12/15,117,加布里尔·穆奇诺,传记,8.9,美国
