游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数
捕鱼达人,7.6 ,益智休闲,中文,95℃,2015-07-29,1.9.0,道具收费,触控科技,2.3以上,6654,114
NBA2K14,7.5 ,体育运动,中文,94℃,2014-05-27,1.3,完全免费,2K Games,4.0以上,16190,3712
愤怒的小鸟六周年版,5.9 ,益智休闲,中文,93℃,2016-09-29,6.0.3,道具收费,拓维信息系统股份有限公司,2.3以上,7187,280
三国志无双战,5.1 ,动作游戏,中文,90℃,2012-07-31,1.3,完全免费,"PlayBean Co., Ltd.",2.2以上,9372,1608
地铁跑酷-冰岛,8.4 ,益智休闲,中文,89℃,2016-09-23,2.54.0,道具收费,乐逗,4.0以上,8804,888
火箭飞人,8.2 ,动作游戏,英文,89℃,2016-08-30,1.9.10,完全免费,Halfbrick Studios,4.0.3以上,7371,544
暴力摩托完整版,5.1 ,动作游戏,英文,89℃,2015-02-17,1.11,完全免费,Adrenaline Crew,2.0.1以上,4461,118
愤怒的小鸟太空版,9.5 ,益智休闲,英文,87℃,2015-07-06,2.2.1,完全免费,Rovio,2.3以上,5238,127
NBA 2K17免验证版(含数据包),8.0 ,体育运动,英文,85℃,2016-09-30,0.0.21,完全免费,2K Games,4.3以上,2411,907
天天酷跑,6.9 ,益智休闲,中文,84℃,2016-07-22,1.0.35.0,完全免费,腾讯,2.2以上,8245,1085
杀手2-影子阴谋,6.5 ,射击游戏,中文,84℃,2016-07-21,4.2.1,道具收费,北京通联天地科技有限公司,2.1以上,2457,1912
我的世界移动版,8.3 ,养成游戏,"英文, 中文",80℃,2016-09-21,0.15.90.7,完全免费,Mojang,4.2以上,66893,7989
NBA2K13(含数据包),8.1 ,体育运动,英文,80℃,2013-12-05,1.1.2,完全免费,2K Games,4.0以上,12011,725
极品飞车:无限(含数据包),6.5 ,竞速游戏,"英文, 中文",79℃,2016-09-28,1.5.3,完全免费,EA,4.0.3以上,5680,3534
神庙逃亡2,8.1 ,益智休闲,中文,79℃,2016-09-26,3.5.0,道具收费,乐逗,2.3以上,8642,582
空中打击高清完整版,5.0 ,飞行游戏,英文,79℃,2014-01-15,1.5.1,完全免费,Art In Games,2.0.1以上,4525,285
鳄鱼小顽皮爱洗澡,9.0 ,益智休闲,中文,78℃,2016-03-16,1.19.0,免费试玩,触控科技,2.2以上,8789,335
GTA侠盗猎车手:圣安地列斯(含数据包),8.1 ,动作游戏,英文,77℃,2016-04-01,1.08,完全免费,Rockstar Games,3.0以上,96354,11410
狂野飙车8:极速凌云,8.2 ,竞速游戏,中文,76℃,2015-09-15,2.4.1,道具收费,北京万盛和泰科技有限公司,2.3以上,14640,5039
极品飞车17:最高通缉,8.5 ,竞速游戏,中文,75℃,2016-09-27,1.3.71,完全免费,EA,2.3以上,27449,7235
跳跃忍者,5.3 ,动作游戏,英文,75℃,2016-07-17,2.2.0,完全免费,Backflip Studios,4.0.3以上,4093,105
GTA侠盗猎车手:罪恶都市(含数据包),7.8 ,动作游戏,英文,75℃,2015-04-02,1.07,完全免费,Rockstar Games,2.3以上,39297,4549
捕鱼达人2,8.1 ,益智休闲,中文,74℃,2016-01-13,1.3.3,道具收费,触控科技,2.2以上,11035,114
背刺商店版(含数据包),7.9 ,动作游戏,中文,74℃,2013-12-07,1.0.4,完全免费,Gameloft,2.1以上,10150,2293
愤怒的小鸟星球大战,8.9 ,益智休闲,英文,73℃,2014-08-26,1.5.3,完全免费,Rovio,2.3以上,5745,234
愤怒的小鸟季节版,9.0 ,益智休闲,英文,72℃,2016-09-28,6.4.0,完全免费,Rovio,4.1以上,7241,369
Pokemon GO,7.3 ,益智休闲,英文,72℃,2016-09-24,0.39.1,完全免费,"Niantic, Inc.",4.4以上,656,27
神庙逃亡英文版,5.0 ,益智休闲,英文,72℃,2016-06-17,1.6.1,完全免费,Imangi Studios,2.3以上,3797,59
反恐精英正式版,7.5 ,射击游戏,英文,71℃,2016-05-13,3.589,完全免费,Studio OnMars,2.3以上,8399,1930
极品飞车13:变速(含数据包),7.7 ,竞速游戏,中文,71℃,2013-12-27,2.0.8,完全免费,EA,2.0以上,6836,1428
激流快艇通用版,7.9 ,竞速游戏,中文,71℃,2013-11-26,1.6.3,完全免费,Vector Unit,2.3以上,1423,249
都市赛车5中文版,4.9 ,竞速游戏,中文,71℃,2010-08-20,3.0.3,完全免费,Gameloft,2.0以上,6077,62
部落冲突,7.5 ,策略塔防,中文,70℃,2016-09-06,8.332.16,完全免费,Supercell,4.0.3以上,12112,1890
真实赛车3,8.8 ,竞速游戏,"中文, 韩文",69℃,2016-09-23,4.6.2,完全免费,EA,4.0.3以上,27673,6755
一起玩陶艺,7.9 ,益智休闲,中文,69℃,2016-01-14,2,道具收费,东品西尚网络科技（北京）有限公司,1.6以上,2185,437
NBA2K16(含数据包),8.2 ,体育运动,英文,69℃,2015-12-11,0.0.29,完全免费,2K Games,4.3以上,15444,3970
饥荒(含数据包),8.7 ,角色扮演,英文,68℃,2016-10-02,0.4,完全免费,Klei,5.0以上,16108,2837
真实赛车2通用完整版(含数据包),8.1 ,竞速游戏,中文,68℃,2012-12-16,871,完全免费,EA,2.1以上,9194,1491
植物大战僵尸2中文高清版,7.5 ,策略塔防,中文,67℃,2016-09-29,1.9.0,道具收费,拓维信息系统股份有限公司,2.3以上,3624,1202
极限摩托完整版,5.5 ,竞速游戏,英文,67℃,2013-06-03,1.25,完全免费,Deemedya m.s. ltd.,2.1以上,951,185
暗影之刃:再次出击汉化版(含数据包),5.7 ,动作游戏,中文,66℃,2016-09-29,1,完全免费,Crescent Moon,2.3.3以上,283,977
暗影格斗2,7.7 ,动作游戏,"英文, 中文, 韩文",66℃,2016-08-07,1.9.22,完全免费,Nekki,3.0以上,7880,3010
愤怒的小鸟里约版,7.5 ,益智休闲,英文,66℃,2016-07-22,2.6.2,完全免费,Rovio,4.1以上,1815,180
开心消消乐,6.8 ,益智休闲,中文,66℃,2016-07-15,1.35,道具收费,乐风创想（北京）科技有限公司,2.2以上,8241,558
实况足球2012(含数据包),8.8 ,体育运动,英文,66℃,2015-06-04,1.0.5,完全免费,科乐美,2.0以上,9626,507
